Date,Time,MMSI,SPEED,Longitude,Latitude,COG
2021-04-19,14:10:49,212054000,8.9,120.3950133,32.0152,235
2021-04-19,14:11:08,212054000,9,120.3942533,32.01475,235
2021-04-19,14:11:40,212054000,9,120.3929733,32.01403,235
2021-04-19,14:11:58,212054000,9.1,120.39224,32.01361,235
2021-04-19,14:12:39,212054000,9.1,120.39052,32.01266,235
2021-04-19,14:12:59,212054000,9.2,120.3897067,32.0122,236
2021-04-19,14:13:18,212054000,9.2,120.3889467,32.01178,236
2021-04-19,14:13:38,212054000,9.2,120.3880667,32.0113,236
2021-04-19,14:13:59,212054000,9.2,120.38716,32.01081,235
2021-04-19,14:14:18,212054000,9.2,120.3863467,32.01038,235
2021-04-19,14:14:38,212054000,9.2,120.3855067,32.00991,235
2021-04-19,14:14:59,212054000,9.3,120.3846533,32.00943,235
2021-04-19,14:15:18,212054000,9.3,120.3837733,32.00893,235
2021-04-19,14:15:38,212054000,9.3,120.38296,32.00848,236
2021-04-19,14:15:59,212054000,9.3,120.38212,32.008,237
2021-04-19,14:16:18,212054000,9.3,120.3812,32.0075,237
2021-04-19,14:16:48,212054000,9.3,120.37992,32.00683,237
2021-04-19,14:17:08,212054000,9.3,120.3790933,32.0064,237
2021-04-19,14:17:28,212054000,9.4,120.3782533,32.00598,237
2021-04-19,14:17:48,212054000,9.4,120.3773067,32.00548,237
2021-04-19,14:18:40,212054000,9.5,120.3750133,32.0043,237
2021-04-19,14:18:59,212054000,9.5,120.3742533,32.0039,237
2021-04-19,14:19:40,212054000,9.5,120.3724,32.00295,236
2021-04-19,14:19:59,212054000,9.5,120.3715067,32.00248,235
2021-04-19,14:20:19,212054000,9.5,120.3706933,32.00203,235
2021-04-19,14:20:48,212054000,9.6,120.36948,32.00135,235
2021-04-19,14:21:19,212054000,9.6,120.36808,32.00056,235
2021-04-19,14:21:40,212054000,9.6,120.3672,32.00008,235
2021-04-19,14:22:28,212054000,9.5,120.36504,31.99886,235
2021-04-19,14:22:48,212054000,9.5,120.3642,31.99841,235
2021-04-19,14:23:09,212054000,9.5,120.3631867,31.9979,233
2021-04-19,14:23:28,212054000,9.4,120.36248,31.99746,232
2021-04-19,14:23:48,212054000,9.3,120.3616667,31.99695,232
2021-04-19,14:24:18,212054000,9.3,120.3604533,31.99618,232
2021-04-19,14:24:38,212054000,9.3,120.3595467,31.99561,232
2021-04-19,14:24:58,212054000,9.3,120.3587867,31.99513,232
2021-04-19,14:25:18,212054000,9.3,120.358,31.99465,232
2021-04-19,14:25:38,212054000,9.2,120.35724,31.99415,232
2021-04-19,14:25:58,212054000,9.3,120.35632,31.9936,231
2021-04-19,14:26:18,212054000,9.3,120.35552,31.99308,230
2021-04-19,14:26:38,212054000,9.3,120.3548133,31.99258,230
2021-04-19,14:27:18,212054000,9.2,120.3531867,31.99148,230
2021-04-19,14:27:40,212054000,9.2,120.3523067,31.9909,230
2021-04-19,14:27:58,212054000,9,120.35164,31.99043,231
2021-04-19,14:28:18,212054000,9,120.35088,31.9899,230
2021-04-19,14:28:40,212054000,8.9,120.3500533,31.98933,231
2021-04-19,14:28:58,212054000,8.8,120.34936,31.98888,230
2021-04-19,14:29:30,212054000,8.7,120.3482133,31.98811,231
2021-04-19,14:30:09,212054000,8.5,120.3466533,31.98713,230
2021-04-19,14:30:30,212054000,8.5,120.3459867,31.98666,230
2021-04-19,14:31:09,212054000,8.4,120.3445733,31.9857,230
2021-04-19,14:31:30,212054000,8.3,120.3438,31.98516,230
2021-04-19,14:31:49,212054000,8.3,120.3430533,31.98466,230
2021-04-19,14:32:09,212054000,8.3,120.3424533,31.98426,230
2021-04-19,14:32:30,212054000,8.2,120.3417067,31.98376,230
2021-04-19,14:32:49,212054000,8.2,120.34096,31.98326,230
2021-04-19,14:33:09,212054000,8.2,120.3402133,31.98278,230
2021-04-19,14:33:30,212054000,8,120.3395467,31.98235,230
2021-04-19,14:33:49,212054000,7.9,120.33892,31.98195,230
2021-04-19,14:34:09,212054000,7.8,120.33828,31.9815,230
2021-04-19,14:34:28,212054000,7.6,120.3375867,31.98103,230
2021-04-19,14:34:48,212054000,7.5,120.33696,31.98061,230
2021-04-19,14:35:09,212054000,7.4,120.3362933,31.98018,230
2021-04-19,14:35:28,212054000,7.3,120.3357067,31.97978,230
2021-04-19,14:35:48,212054000,7.3,120.3350933,31.97938,230
2021-04-19,14:36:09,212054000,7.4,120.33436,31.97888,230
2021-04-19,14:36:38,212054000,7.5,120.33344,31.97825,230
2021-04-19,14:37:00,212054000,7.7,120.3327867,31.9778,230
2021-04-19,14:37:18,212054000,7.8,120.3321067,31.97735,230
2021-04-19,14:37:38,212054000,7.9,120.33148,31.97691,230
2021-04-19,14:38:10,212054000,8.1,120.33032,31.97613,230
2021-04-19,14:38:28,212054000,8.2,120.3297067,31.9757,230
2021-04-19,14:39:00,212054000,8.4,120.3286,31.97495,230
2021-04-19,14:39:18,212054000,8.5,120.3279467,31.9745,230
2021-04-19,14:39:38,212054000,8.6,120.3272133,31.97398,230
2021-04-19,14:40:28,212054000,8.8,120.3254133,31.97271,230
2021-04-19,14:40:48,212054000,8.9,120.3246533,31.97218,231
2021-04-19,14:41:10,212054000,8.9,120.3238533,31.9716,232
2021-04-19,14:41:29,212054000,8.9,120.3230533,31.97106,232
2021-04-19,14:41:48,212054000,9,120.3222933,31.97058,232
2021-04-19,14:42:19,212054000,9.1,120.3211067,31.9698,232
2021-04-19,14:42:38,212054000,9.2,120.3203867,31.96928,234
2021-04-19,14:43:09,212054000,9.2,120.3191067,31.96845,238
2021-04-19,14:43:29,212054000,9.2,120.31832,31.96798,241
2021-04-19,14:43:59,212054000,9.3,120.31696,31.96731,243
2021-04-19,14:44:19,212054000,9.3,120.3160667,31.96695,243
2021-04-19,14:44:38,212054000,9.3,120.3151867,31.9666,243
2021-04-19,14:44:59,212054000,9.4,120.3142533,31.96623,242
2021-04-19,14:45:29,212054000,9.3,120.3127867,31.9657,239
2021-04-19,14:45:59,212054000,9.3,120.3114933,31.9651,240
2021-04-19,14:46:18,212054000,9.4,120.3106533,31.96468,240
2021-04-19,14:46:38,212054000,9.4,120.3097467,31.96428,240
2021-04-19,14:46:59,212054000,9.4,120.3087067,31.9638,240
2021-04-19,14:47:18,212054000,9.5,120.3078933,31.96343,240
2021-04-19,14:48:08,212054000,9.6,120.3056533,31.96236,242
2021-04-19,14:48:30,212054000,9.6,120.3046133,31.96193,243
2021-04-19,14:48:49,212054000,9.6,120.3036533,31.9616,243
2021-04-19,14:49:18,212054000,9.7,120.30232,31.96101,243
2021-04-19,14:49:49,212054000,9.7,120.3008,31.9604,243
2021-04-19,14:50:08,212054000,9.7,120.2997733,31.96001,243
2021-04-19,14:50:30,212054000,9.8,120.2988667,31.95963,243
2021-04-19,14:50:49,212054000,9.8,120.2978933,31.95926,243
